Review,Target
"?????????  ??????  ???? ???? ???????  ??? ??????? ???? ???? ????? ?????, ?? ???????  ??? ????? ???? ?????? ",1
??????? ??????! ??? ?????? ??????? ??? ??????? ???????,1
??????? ??? ?????? ?????? ????? ?????? ?????? ???? ??? ????? ????????? ???? ???? ???????? ??? ??? ???? ???? ???? ???? ?? ??? ?????? ????? ?? ?????? ????? ???? ????? ??? ????? ??? ???? ???? ??????,0
???? ???? ?????? ???? ???? ???? ???? ????,1
??? ????? ???? ????,1
"???? ??????? ?????? ???? ?? ???? ????? ???? ???? ??? ????, ???? ??? ?????",1
???? ???? ???? ?????????? ????? ????? ???????? ? ??? ??????? ??????? ??????????? ???????? ???? ??? ????? ?????? ?? ???? ??,0
???? ???? ???????? ???????? ???? ??????????? ?????? ?? ??????? ?? ?? ??????? ???????? ???? ??????,0
"????? ??????? ????, ??? ??????/?????? ??????? ??? ???????? ???????? ???? ?% ? ?? ?????",0
?????? ??? ?? ??? ?? ????? ???? ??????? ???? ????? ???? ????? ????????? ??? ??? ????????????? ?? ???? ????? ??? ?????? ???? ?????,0
"???????? ??? ?????????, ???? ???? ?????? ??????? ???? ?????? ?? ???",0
"?????? ????? ??, ??? ???? ?????? ??? ?? ??? ??????? ????? ? ??? ???",0
?????? ??????? ??????? ?? ????? ???? ????? ????? ??? ??? ?????? ?? ???? ?????,0
???? ???,0
??? ?????? ? ????  ???? ?????? ????? ?? ????,1
"????????? ???? ???? ??? , ???? ???? ??? ???? ??? ???? ???",1
?????? ??? ??? ????? ???? ??? ???? ????? ????? ???????,1
?????? ?? ???? ???? ????? ??? ???? ????? ??????? ???? ??,1
"???? ???? ???????? ?????, ??? ??????? ?????????.",1
??? ??????? ???? ???? ??????,1
?????? ?? ???? ???? ?????? ????.....,0
"??? ???? ,, ??? ???? ????,, ??? ????? ?? ???? ??? ????? ????? ???,,",0
???????? ????????????? ???? ?? ?????? ???? ???,1
??? ??? ???? ??????? ????????? ????? ???,0
"???? ??? ???? ?????? ????????,????? ??? ???,?????? ??????? ??????????? ???? ???? ???,??? ?????",1
????? ????????? ?? ???? ??????? ??? ?????? ???? ????? ????????,0
????? ??????? ??? ????? ??? ???? ???? ??????,0
"???? ??? ???, ??? ?? ?????",0
??? ????? ??????? ????? ?????? ???? ???? ????? ????? ????? ???? ??????? ????? ??????? ???? ???? ?? ????- ???? ?? ??? ???? ??? ????? ?? ???? ????? ?????? ?????,0
"???, ????, ???????? ????? ??? ???????? ???????, ?? ???? ????? ???? ???? ???? ??? ???? ???? ???????? ???? ??? ???? ?? ??????????? ???? ?????? ???, ?? ??? ??? ?????? ??? ???",0
?????? ??? ? ???? ???? ???? ?????? ??????,0
????? ??? ??? ????? ?????? ??,0
???????? ???? ???,1
"???, ????, ???????? ????? ??? ???????? ???????, ?? ???? ????? ???? ???? ???? ??? ???? ???? ???????? ???? ??? ???? ?? ??????????? ???? ?????? ???, ?? ??? ??? ?????? ??? ???",0
"??? ??? ??? ???, ?????? ?????????? ??? ???? ????? ???? ??? ???",1
???? ????? ?????? ???? ???? ????,0
"? ?? ????? ?????? ????????, ??????? ???? ??? ?????? ??? ????? ????? ??? ??????? ????? ??? ????? ????? ????? ???????? ?????? ??????? ????? ???????? ?????",1
???? ?? ??? ???? ,0
"??? ??? ???? ??????? ?????????? ????????, ???? ???? ???? ??? ?????? ???? ?????? ??? ??????? ???? ???? ???????? ????",0
????,0
??????? ???????????? ??????? ??? ??? ????? ???? ??????? ?????? ???????? ??? ???? ???? ?? ???? ??? ???? ???? ???? ????? ?????,0
??????? ??????? ??????? ????? ???? ?????? ???????? ??? ??????? ?????? ??? ?????? ???????? ?? ??? ??? ???? ?????? ????????? ?????? ????? ???? ??? ???? ??????? ???? ??? ???? ???? ?????????? ??????????!,0
????? ????? ???? ??? ?? ???,0
?????? ??? ???? ??? ???? ???? ??????,1
????? ???????? ???? ??? ???? ????? ??????? ?????? ??? ???? ?????? ??????? ??? ????? ??????,0
????????? ?????? ?????? ?????? ??? ?? ??? ????? ???? ??????? ???? .,0
"?????? ???? ?????? ??? ??????,????? ??? ??????, ?? ????? ???? ??????, ??? ???? ??? ?? ???? ??? ??, ????????? ???? ????? ???? ?????",0
???? ????? ??? ?? ????? ?????? ???? ?????? ??? ????? ??? ??? ????? ????????,0
????? ?????? ???? ???? ?????? ????? ????? ????! ,0
????? ?? ???? ??? ???????? ???? ????? ???? ???? ??????,0
???? ????? ????,1
"??? ?????? ?????????, ??????? ??? ?????? ???? ????? ???? ????? ?????? ?-? ?????? ??? ?????????",1
????? ????? ??????? ???? ????? ??? ?????? ???????? ????? ??? ????? ??? ?????? ????? ?????????? ??? ????,0
"????? ????? ??? ????? ???? ??? ?????? ?? ????? ???????? ?????? ???? ?? ????!!! ?????? ????? ???? ????? ??? ??? ??? ??? ???, ?????? ????????? ???? ????????? ????? ??????)",0
???? ????? ???? ?? ???? ???? ???? ????!,0
???? ???? ????? ?????? ?????? ?????? ????? ??????? ????? ???? ?????? ?????? ???? ?????,0
???????? ???,1
"??? ??????? ???????? ???? ???, ??? ???? ??????? ??? ????? ???? ???",1
????????? ???? ????? ???,0
?????????????? ????,1
"????? ???? ???? ???? ???? ???? ??????? ?????? ???, ????? ????, ???? ????? ???? ????? ????? ???????",0
???? ????? ??? ?????? ???? ???,0
???? ???? ?????? ??? ???????? ?????????? ?????? ??????? ???? ??? ?? ?????? ??????? ????? ??? ??????? ?????? ???? ??? ??? ?????? ???? ?????? ?????? ??????? ?????? ??????? ??? ??? ??????? ???????????,0
???? ? ??????? ??? ????? ?????? ??,0
????? ??? ???????? ??,1
?????? ???? ??? ???? ?????,0
???? ????? ???????? ????????? ????? ????? ???? ????? ??????? ???? ???? ??? ????? ??????????? ??????? ????? ????????? ?? ??? ?????????? ??? ???,0
"??????? ?????? ????? ??? ???? ???? ? ????? ???? ??? ???, ??? ? ???????? ???? ???? ???? ???? ???? ???? ????? ????? ??? ??? ? ??? ?????? ????? ???? ???? ?????? ????? ???? ????? ?????? ????? ???? ???? ???? ??, ?? ??? ??? ???? (??? ????) ?? ??????? ????? ???? ????????? ??? ??????? ?????? ????? ???????? ???? ??????",0
???????? ????? ????????? ????? ???? ???? ???? ????? ????? ????? ?????? ??????? ???? ?? ?? ???? ???? ???? ???? ???? ???????? ???? ?????? ?????? ?? ????? ???? ????? ????????????,0
"???? ???? ????? ????, ??? ????? ?????? ???????? ??",0
"??? ? ???????? ????? ????? ????, ????? ????? ???????",1
"???? ????, ??? ?????? ???????? ????? ??????, ???? ?? ????? ???? ????? ????? ?????? ????",0
??????????? ??,0
????? ???? ???? ??? ????? + ????? ???? ??? ???? ??? ????????? ???? ???????? ???? ??????? ??? ??? ??????? ????? ?????? ??? ??? ???????? ?????????? ???????? ??????? ??? ???? ????,1
"????? ?? ???? ??? ???, ?????? ?????? ?????? ?????? ??? ???? ?????? ????",1
"????? ???????????, ??? ??????? ??? ??? ? ?? ??? ??? ????",0
???? ??????? ???????,0
"????? ??????,",0
"???????? ?????, ??? ????? ?????",0
"???????????? ????????? ?????? ???? ??? ???? ????? ?????? ???, ?????? ???? ??? ??? ???? ???? ??, 2 ????? ?? ????? ???? ??? ????? ???????? ?????? ?? ??? ?????, ????? ????? ??????? ?????? ???",0
"???? ???? ???? ???????? ?????,, ??? ?????? ???? ??? ??????? ????????,,",0
?????,0
??? ??,0
???? ?????? ??????,0
???????? ??????? ????? ????,0
??????? ???? ???????? ??????? ??????? ???? ?? ???? ???????? ?????,1
????????,1
?????? ?? ???? ???? ????? ??? ?? ??????? ?? ??? ???? ???? Otherwise ?? ??? ???? ?????? ??? ?? ??????? ??? ??? ????? ????? ??? ???????,1
"???? ????? ???? ???,?????? ?????? ??? ???? ???? ???? ????",1
"????? ????? ???? ???? ???? ???? ??? ???? ??, ??????? ?????? ? ??? ????",1
???? ????? ???? ???? ???? ???????,0
?????????? ???? ???? ???????? ??? ??? ????????? ?? ? ??? ???? ????,1
???? ????? ????? ?????,0
????? ?? ?????,0
"???? ??? ????????? ???? ???? ??? ??? ????? ???????? ? ?????? ???????? ??? ????? ?? ??? ???, ???? ?????? ??? ??? ???? ?????? ?????? ?????????",0
???? ????? ???,0
"??? ?????? ???? ????? ???????? ??????? ??? ?????? ?????? ?? ?????? ???? ???,??? ???????? ?????? ??????? ?????? ?? ?? ????? ? ????? ???? ?????? ??????? ????? ????? ??? ??? ????? ??-?? ????? ??? ???? ???? ????? ?? ?????? ?? ??? ?????? ????? ?? ?? ??????",0
"??? ?????? ?????? ????????, ???? ?????,???? ???????? ???, ?????? ????? ???,",0
???? ??? nai ??? ????,0
????? ???? ???? ???? ?? ????????? ??? ???? ??,0
?????? ???? ?????,0
??? ??????? ???????? ??? ??????? ????? ???? ?????? ???? ?? ??? ??????? ??????? ?? ???????? ? ??? ??? ??????? 3-4 ??? ???? ?????? ????? ????? ???? ??? ?????,0
???? ????? ??????,0
??????? ??? ???? ???? ??? ?????,0
????? ???????,0
???? ????? ???? ?????? ??? ????? ?? ?? ?? ???? ?????? ??? ???????? ??? ?? ??? ?????? ??? ?? ??? ??? ???????? ???? ???? ???????? ????,0
???? ??? ???????? ???????? ?? ???? ?????,0
??????? ?? ???? ???? ??,0
"?????? ???? ??, ???????? ??????? ???? ??????",1
??????? ???????? ??? ?????????? ????? ??? ????? ??? ????? ??????? ????? ?????? ?????! ?? ???????? ??? ?? ????????? ???? ??? ??! ??? ????? ?? ???? ? ???? ??!,0
????? ??? ??? ???? ?????????? ???? ?? ???????? ??? ????? ?? ??? ??????? ??? ??? ?????????? ??? ? ?????? ?????,0
????? ????? ??????? ???? ????? ??? ?????? ???????? ????? ??? ????? ??? ?????? ????? ?????????? ??? ????,0
"????????? ??? ???? ????? ???? ????? ?? ??? ???? ??????? ?????? ?? ?????? ???? ?????? ??? ????,???? ???? ???????? ???? ???? ?????? ????? ???",1
????? ??????? ???? ??,0
?????? ?????????? ???? ????? ??????????????? ??????? ?????? ???? ????? ???????????? ???? ?????? ??????? ????? ?????????,1
??? ???? ???? ?? ????? ?????? ? ??? ???,0
??? ????... ????? ????? ????? ????,0
??? ???? ????? ????? ??? ???? i have no recived my food,0
"???? ???? ???? ??????, ???? ?? ???????? ???",1
??????? ??? ??? ???? ???????? ?????? ???? ????? ???????? ???? ???? ??? ??? ???,0
????? ??? ???? ???? ???? ???? ???? ???????,0
???? ????? ?????? ????????? ??? ???,1
?? ?? ???? ??? ???? ???? ??? ???? ????? ????? ??? ????,0
"?? ?? ???? ??? ??????? ?????, ???????? ??? ????? ??????? ??? ? ???? ????? ??? ????? ??????",0
?? ???? ???? ??? ?????,1
???? ?????? ???? ????! ????? ?? ??????? ????! ?? ???? ??? ???? ?-? ??? ????! ???? ???? ????? ?????! ????? ???????,0
????? ???? ??? ??,0
????? ?? ????? ??? ??? ??? .....???? ????? ??,1
"?? ???? ???? ??? ??,,,?????? ???????? ???? ???,,,",1
"???? ????? ????? ?????????? ?? ?????? ?????? ????????,, ??? ???? ?????",0
????? ?? ???? ???? ??,0
??????? ??? ???,1
???? ???? ???? ???,0
"?????? ???? ?????! ? ????? ?? ???? ?????? ??? ???? ????? ?????, ????? ????, ??? ?? ??????? ??? ???? ?????",1
"??? ??????? ??? ??? ???, ?????? ?? ????????",1
??? ??? ?????? ????? ????? ????? ????? ???? ???????????? ?? ?????? ??? ?? ??? ??? ??? ???? ????? ?? ??????,0
??????? ??? ???? ???? ???? ???,0
??? ?????? ????? ?????? ???? ??? ?????? ???????? ???? ????,1
????? ??????? ????? ?????? ??? ??? ?????????,1
???? ???? ??????,0
????? ???? ?????? ???????? ?? ???? ??? ?????? ??? ???? ???????? ??? ????,1
??????? ??? ???? ????? ??? ??????? ???? ??? ???? ??? ???? ????,1
??????? ?????? ??? ?? ??? ???????? ???????????? ?????,0
???? ???? ????? ??? ????? ???,0
"??? ?????? ???? ????? ?????? ??,?? ?????? ????,??? ??? ?????,?????? ???? ???? ? ??????",1
???? ?,1
"??? ????-??? ????,???? ???? ????????????? ??? ??? ?????? ?????????? ???????? ???? ???? ????????",0
?????? ??? ??? ??? ???? ???? ?? ???? ???,0
?????? ??????? ???? ???,0
????? ??????? ????? ??????? ????? ???? ? ? ???????? ?? ??? ???? ???? ????? ????? ??? ?????? ??????? ??? ????? ?????? ?????? ???? ????????,0
????? ??????? ???????? ????+????? ?????? ?????? ???? ??? ?????.... ????? ????? ????? ??? ????? ???? ???,1
????? ????? ????? ?/?,1
"???? ??? ????? ??????,?? ????? ? ???? ????,??? ??? ???? ???? ????? ??? ????",1
?? ??????? ??????? ????? ????? ???? ??? ???? ????? ???? ???????? ??? ????? ???????? ??? ???? ????????,0
"?????, ?????,?? ???? ?????? ??????? same ? ??? ??? ???? ????? ?????? ????? ??? ??? ??? ????? ???? ??? ???",0
?? ????? ???? ??????? ??????? ?? ???? ???? ???? ???,0
????? ??????? ?? ???,0
??? ???? ?????? ?????? ???? ??? ???,1
?? ???? ????? ? ??? ?????? ????? ???? ?. ?????? ?? ??????? ?????? ??,0
????? ?? ????,1
??????? ??? ???? ???? ???? ?????? ????? ???????? ???? ????????,1
????? ????? ???? ???? ?? ??????? ????? ???????? ??,1
??????? ??? ?????? ???. ??????? ??? ???? ??? ???.,1
???? ????? ?????????? ????? ?????,0
??? ??? ????? ?? ??? ? ?????? ???? ??? ?? ??? ??? ??? ? ?????? ?? ???? ??????? ?? ???? ???? ??? ?????? ???? ?????? ??? ???? ??? ?? ? ???? ????? ????????? ???? ? ??? ???????? ?? ??????? ????? ??? ????????? ????? ????? ???? ?????? ???? ???? ???? ? ??? ????? ?? ???? ???,0
????? ??? ?????? ???? ?? ???? ?????? ????? ???????? ??????? ??? ??? ???? ???? ?????? ?? ???? ???? ????? ????? ?? ? ???? ????? ??? ???? ?? ?????,1
???????? ??? ???? ??? ????? ?????? ???? ?? ?? ?? ????? ??? ?????? ??? ????? ?????? ?????? ????????? ?????? ???? ???? ????? ???? ???? ??? ???? ??? ????????? ?? ????? ?????? ? ??? ???? ????? ????????? ???? ??? ? ????? ???? ??? ??? ????? ????? ???? ?? ???? ??? ??? ? ??? ???? ?? ??? ??:?? ??? ???? ?????? ???? ?? ?????? ?? ????? ????,1
?????? ???? ???? ??,0
????? ???????,0
???????? ????,1
???? ????,1
??????? ???? ???? ?????,1
"?????? ???????? ???? ????, ???????? ????? ?????!",0
??? ?? ?????? ?? ???????? ??? ???? ?????? ?????? ???? ?????,0
???????? ??? ??????? ?????? ?????? ????? ?????? ???,0
??? ????? ??????? ????? ???? ?? ?? ??????? ????? ?? ???? ??? ????????? ?????? ?????? ????? ????? ????????? ?????? ???? ?? ??????? ????? ??? ???????,0
????? ???,1
??????? ??? ???? ????? ??? ??,0
???????? ?? ???? ??? ????? ???? ?????,0
??? ???? ????????? ??????? ??? ???? ???? ??? ?????? ?????? ??? ????? ??? ???? ????? ??????,1
?????? ????????? ?????,0
??? ??? ??? ??????? ???? ????? ?? ???? ???,1
"??? ? ???????? ????? ????? ????, ????? ????? ???????",1
??????????? ??,0
????? ???? ???? ??? ????? + ????? ???? ??? ???? ??? ????????? ???? ???????? ???? ??????? ??? ??? ??????? ????? ?????? ??? ??? ???????? ?????????? ???????? ??????? ??? ???? ????,1
????? ??? ??? ?????? ??????? ?????? ???? ??? ?????! ???? ????? ????? ?????? ??? ???? ???? ????? ?? ??????,1
???? ????? ???? ?????? ??? ????? ?? ?? ?? ???? ?????? ??? ???????? ??? ?? ??? ?????? ??? ?? ??? ??? ???????? ???? ???? ???????? ????,0
"????? ?????? ???? ??? ??? ???,,,????? ???? ???",1
??? ?? ??? ??? ???? ???? ??? ???? ??? ???? ???????? ??? ?? ?????? ????? ?? ????? ?? ???? ??? ??? ????? ???? ?????? ?? ??? ????? ???? ?????? ? ??? ???? ??????? ??,0
"???? ??????? ?????, ??????? ????? ?????? ????? ???????? ?? ??? ???, ??????? ?? ???????",0
??? ???? ?????? ?????? ?????,0
"????? ???, ????? ????? ??????? ? ????? ??? ????? ????????? ???? ??? ???????? ???? ????? ???? ???",0
?????? ?? ???? ??? ??. ?????? ?????? ??????? ?? ?? ????? ???.,0
"????? ????? ??? ?? ?????, ??????? ?????? ????? ??? ??? ???? ???? ??????????? ??? ??? ???? ??? ????????",0
????? ????? ???? ???,0
?? ????? ????? ??? ?????,0
?????????? ???? ???? ???????? ??? ??? ????????? ?? ? ??? ???? ????,1
"????? ????? ???? ????,,???? ?????? ??? ??,, ?????? ???? ???? ??? ??? ???? ??????? ????",0
???? ????? ???? ??????,0
?????? ????? ???????? ???? ???? ?????? ??? ???? ???? ??? ??? ?? ???? ????? ??? ?????? ?????????? ?????? ???? ???? ?????,0
????? ???? ????? ???????????? ????????? ???? ??? ??? ?????? ????,0
??????? ???????? ?????? ????? ????,1
"????? ?????? ????????, ???? ????",0
????? ?????? ??????? ??? ????? ???? ???? ???? ????? ?????? ???? ??? ??? ????? ????????? ?????????????? ?? ???? ????? ??? ??????,0
???????? ???????? ???? ?? ??????? ?????? ???????????? ???? ???,1
?????? ??? ???? ???????? ????? ??? ??? ???????,1
?????? ???? ???? ????? ?? ???,0
???? ?????? ?? ???? ????? ???????? ?????? ??? ??? ????? ???????? ???????? ???? ????? ???? ????? ????? ???,0
????? ?????,0
???? ??????????? ??? ??? ?????? ?????????? ???? ???? ????????,0
"????? ????? ?????? ????,?? ?? ?? ?????",0
????? ???????? ???? ????? ??? ???? ???? ????? ??? ????,1
????? ??? ??? ??? ?? ???? ??????,0
??? ???? ?????? ????? ??????,0
"???? ??? ????????? ???? ???? ??? ??? ????? ???????? ? ?????? ???????? ??? ????? ?? ??? ???, ???? ?????? ??? ??? ???? ?????? ?????? ?????????",0
"???????? ?????? ??????????? ???, ??????? ????? ???????? ????? ???? ????? ???? ?? ??? ??? ??? ?????? ?????? ??????... ????? ?????... ?????? ??????? ?????, ??????? ?????? ?????...",1
????... ?????? ????? ???? ??? ??? ??? ????? ???...,1
"???? ????? ??? ?? ???????????? ???????? ?????? ??? ???, ???? ???? ????",1
"????? ?????? ??? ?? ???? ???????? ?? ?????? ? ??? ??? ?????? ??? ????, ???? ???.. ?????? ???????? ?????? ???????.",0
"??? ?????? ???????????? ???? ???, ???? ?? ???? ?????? ???????? ??? ?? ?????????? ???? ????, ??? ?? ???? ??? ??? ?????? ???? ????? ????? ???? ???? ??? ??? ????? ????? ???? ???? ???? ?????? ?????? ????? ??? ????? ???? ????? ????? ?? ? ?? ?? ???? ?????? ????? ??? ???...",1
?????? ????? ????? ?? ????? ??? ???????? ???? ???? ??? ??/??,1
???? ????? ????,1
????????? ????? ??????? ????? ???? ??? ??? ??? ??? ????? ??? ???,0
??? ?? ?? ??? ????????????? ?????? ????? ??? ???? ???? ?????,1
????? ??????? ?????? ????????? ????,0
????? ?????? ??? ??? ?? ????! ? ?? ??? ?????? ?????????! ?????? ??? ?? ? ???? ??? ???! ??? ???? ??????? ????? ????!,0
Price ?????? ?????? ????,1
??? ?? ???? ??????? ?????? Biryani ?? ???? ??? ??,0
???? ???? ?????,0
???? ????? ? ??? ??? ????? ????,0
???? ???? ?????? ??????? ??????? ????? ??? ???? ????,0
???? ???? ??????? ????,1
????????? ?????? ?? ??? ??? ???? ???,1
????? ??????? ?? ???? ??????? ???? ????? ?????? ??? ???? ????,0
??? ??? ,1
"Very bad ????? ????????? ???? ???? ?????? ????? ?? ???????? ??? ???????, ?????, ??????? ???? ?? ????? ??? ??? ???? ???? ?????? ??????? ???",0
???? ???? ???? ??????? ????! ??? ?????? ???? ? ?? ?? ?? ????? ???? ???? ????! ????? ??????? ?? ???? ???? ??? ???!,0
"????? ???? ???? ?????? ?????????? ??? ?? ????????? ???? ???? ????? ????? ????????? ??????? (??????) ?? ????? ??? ??? ???? ????? ???????? ???? ??? ???????, ??? ?????? ??????? ??? ???????",0
?????? ????? ???????,0
????? ?? ??? ???? ???,1
?????? ??? ?????? ????????,0
"??? ????? ??????,???? ?? ??????? ???? ???",1
"????? ?????? ??? ????? ????, ????? ????? ????, ???? ??????? ??????? ????!!",0
?????? ?? ???? ????? ?????? ???? ???? ??? ?????,0
???? ?? ???? ???? Love Bird ???????????? ,1
????? ???? ???? ?????? ???? ??????? ????? ?? ??????,1
????? ??? ?????? ???? ???? ????? ??????? ??? ??? ???????,1
??? ????? ?? ????? ???????? ??? ???? ????? ??? ??? ???? ?? ???? ??? ???? ????,1
??????? ??? ???? ???? ?????! ??? ?? ????? ???? ???? ????? ?????? ?????? ??? ?????! ??????? ??????? ????? ???? ???? ?? ??? ????? ??? ????? ??? ????? ????? ???? ???? ???? ????????! ?? ????? ??? ???? ???????? ??? ???,0
????? ?? ???? ?????? ????,0
"?????? ??????? ???????? ????? ??? ???? ????? ?????? ????, ??? ?????? ?????? ??? ?????, ????? ????? ???? ?????? ???? ??????? ?? ???? ????? ?????..",0
"??????, ????? ??? ?????? ???? ?????? ???? ?????? ??? ???? ???????",0
???? ????? ???? ?????? ????? ???? ?????? ???,0
???? ?????? ????????????????,1
"??? ???? ???? ?????,?????? ?? ?????? ??????,??? ???? ???",1
"????? ???? order ????????,?????? ????????? ???? ???? ????!????? ???? ????? ??????? ??? ??? ?????!! ???,???? ?? ??? ??????? ???? ??? ?????? ???? ??? ?????? ?????? ????? ???? ????,????????",1
???......... ??? ???.....! ??????????????,1
??????? ????? ????? ???????? ??? ?? ???? ?????? ???? ?????? ??????? ?????? ?? ???? ???? ???? ?????? ??? ???? ??? ??? ??? ????...,1
"??? ????? ??????? ?????? ????? ?????? ??? ??? ???? ??? ?????? ?????? ?????? ??? ???? ?????? ???? ?????? ?????..??? ???? ????? ??? ??? ??? ???? ??, ????? ??? ?? ???? ??? ???? ??????? ????? ????, ?????????? ????, ??? ???? ???? ??? ???? ???? ?? ?????????? ?? ?????? ???? ???? ???? ??, ?? ????? ??? ?? ?????? ????? ?? ?? ???? ??? ???? ????? ??? ??? ???????????? ?? ????? ?????? ??? ???????? ????? ?????? ???????? ?????? ?? ???? ?????? ????, ???, ???? ????????, ????? ?/??",1
"????? ???????? ?? ??? ???? ???? ????? ?????? ?? ???? ???? ???? ??????? ???? ????? ????, ??????? ???? ????? ????? ?????? ????? ??? ?????",0
?????? ?? ???? ???? ???! ?????? ??! ??? ???? ?????????,0
"??????? ????? ???????? ????, ?????? ??????? ?????? ???? ???",1
???? ??- ???? ????- ????? ?????? ??? ??????? ????????,0
??? ????? ?????? ??? ???,0
???? ???? ?????? ????? ?????? ??? ??? ????? ???? ????? ???,0
??? ????? ????? ????? ?????? ???? ?? ????? ???? ??????? ?????? ?????,0
"???, ??? ?????? ???? ????? ??????, ?????????????? ??????? ????????? ????? ????? ?????? ???????? ???? ??????? ????? ???? ????? ??????? ???? ???? ????? ??? ??? ?? ????? ???????? ?????? ???? ?? ?????? ?????? ??? ????",0
"??????? ????? ??????? ??? ???? ??? ??????? ?????? ??????? ????????? ???? ?????? ???? ??? ?? ???????? ???????? ????? ?? ????? ??? ????? ???? ???? ??? ???? ?? ??????? ??? ??? ??????,????? ????? ??? ??????? ??????? ???????? ???? ???? ??? ??? ???? ??? ?? ????????",0
????? ??? ??? ???? ???? ?? ??????? ???? ?????,1
??????? ???? ??? ??????!?????? ??? ???????,0
????? ????? ??????? ???? ???? ????,1
?????? ??????? ?????,1
????????,1
?????,1
?????? ?? ???? ???? ????? ??? ?? ??????? ?? ??? ???? ???? Otherwise ?? ??? ???? ?????? ??? ?? ??????? ??? ??? ????? ????? ??? ???????,1
"???? ????? ???? ???,?????? ?????? ??? ???? ???? ???? ????",1
"????? ????? ???? ???? ???? ???? ??? ???? ??, ??????? ?????? ? ??? ????",1
??????? ???? ????? ?????? ???? ,1
